"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","pbqc","treatment1","treatment2","pooled_R1.mzXML","pooled_R2.mzXML","Pooled_R3.mzXML","Treatment1_R1.mzXML","Treatment1_R2.mzXML","Treatment1_R3.mzXML","Treatment2_R1.mzXML","Treatment2_R2.mzXML","Treatment2_R3.mzXML","isotopes","adduct","pcgroup"
"38",453.925863703196,453.923268275538,453.926731954681,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3325,3274,2963,3582,3274,3456,3664,3479,2987,"[6][M+1]-","","69"
"39",454.928216700528,454.926148440142,454.928325735212,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1465,1429,1292,1372,1332,1374,1375,1503,1269,"[6][M+2]-","","69"
"40",469.872427998125,469.871967774355,469.873026866524,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,11710,10593,11788,9813,9441,10797,11970,11373,10974,"[7][M]-","","69"
"41",470.872855854431,470.871614129919,470.874813471768,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3935,3673,4060,3733,3729,3934,4095,4077,4146,"[7][M+1]-","","69"
"42",471.871259143119,471.870081257919,471.872108598169,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,6030,5461,5734,4793,4957,5605,5721,5902,5553,"[7][M+2]-","","69"
"43",472.869004900047,472.868022263793,472.8707814999,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2354,2061,2344,2170,2035,2096,2370,2356,2448,"[7][M+3]-","","69"
"44",474.867618871766,474.866175895848,474.869954010777,16.2027436022031,16.1183262382994,16.7826568282714,7,3,1,3,1369,1243,1333,1159,1158,1154,1377,1240,1283,"","","69"
"45",486.822365228222,486.821894310379,486.824083000552,18.2050060743318,18.1239481430609,18.786962790908,7,3,1,3,1400,1217,1590,961,1112,1374,1399,1303,1497,"","","69"
"46",488.820458204278,488.819032360073,488.824111233137,18.222868995545,18.1239481430609,18.786962790908,9,3,3,3,1382,1250,1631,1284,1118,1503,1580,1576,1642,"","","69"
"47",520.909537168321,520.909004586768,520.909999046594,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,42586,39638,35674,41944,40221,40100,40857,41110,35872,"[8][M]-","","69"
"48",521.913122000872,521.911903205811,521.913798885788,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3927,3635,3382,3574,3483,3631,3826,3896,3384,"[8][M+1]-","","69"
"49",522.91509958678,522.913204041131,522.91705458987,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1462,1582,1346,1417,1422,1446,1467,1526,1446,"[8][M+2]-","","69"
"50",537.859733819947,537.859276505666,537.861315941816,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,10300,9189,9990,8561,8831,9998,9902,10400,9659,"[9][M]-","","69"
"51",538.860414503792,538.85897284802,538.861307277946,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3516,3209,3433,3152,3118,3178,3387,3406,3549,"[9][M+1]-","","69"
"52",539.85883586191,539.857848407889,539.860239703085,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,5103,4570,4887,4339,4441,4786,5048,5234,4804,"[9][M+2]-","","69"
"53",540.857629957072,540.856249629961,540.859707509805,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1788,1781,1925,1700,1796,1843,1825,1807,1867,"[9][M+3]-","","69"
"54",554.809081298908,554.806603666375,554.810549591945,18.2050060743318,18.1239481430609,18.786962790908,7,3,1,3,1380,1226,1627,1074,1030,1310,1380,1391,1516,"","","69"
"55",556.80873787319,556.805996471401,556.811122635942,18.2050060743318,18.1239481430609,18.786962790908,7,3,1,3,1372,1333,1679,1113,1039,1586,1476,1521,1585,"","","69"
"56",588.897562813698,588.897375797588,588.898126499874,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,46697,40828,38676,44613,42904,43053,44060,45003,37816,"[10][M]-","","69"
"57",589.900957477536,589.899944671095,589.902679177961,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,4786,4736,3948,4703,4670,4605,4648,4574,4061,"[10][M+1]-","","69"
"58",590.901118999583,590.898700996971,590.903054853219,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1895,1775,1603,1813,1568,1808,1856,1947,1750,"[10][M+2]-","","69"
"59",605.847508172316,605.846806339874,605.849749551604,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,10588,9406,10582,8964,9030,10053,10573,10793,10128,"[11][M]-","","69"
"60",606.848109352825,606.847451452521,606.849139334805,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,4047,3896,4002,3460,3588,3999,4329,3872,4089,"[11][M+1]-","","69"
"61",607.846541021949,607.845049666547,607.847272330905,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,5595,4907,5549,4736,4741,5086,5673,5258,5179,"[11][M+2]-","","69"
"62",608.844847752815,608.844273565433,608.84606532134,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2390,2168,2218,2003,2054,2253,2266,2393,2325,"[11][M+3]-","","69"
"63",610.841868181019,610.840136678419,610.84280433095,16.2094476825195,16.1183262382994,16.7826568282714,8,3,2,3,1210,1160,1225,1128,1037,1218,1241,1262,1218,"","","69"
"64",622.797948985793,622.794780042414,622.800055973003,18.222868995545,18.1239481430609,18.786962790908,9,3,3,3,2014,1716,2214,1581,1423,1812,1893,2017,2064,"","","69"
"65",624.797375456273,624.7947059333,624.799238180852,18.2050060743318,16.2803807529686,18.786962790908,9,3,3,3,1964,1523,2056,1525,1583,1948,1848,2058,2104,"[12][M]-","","69"
"66",625.797967073575,625.796483491919,625.799450655231,16.1778080354056,16.152872468608,16.2027436022031,2,1,0,1,1143,846,1185,824,800,914,996,1050,1182,"[12][M+1]-","","69"
"67",656.88559606943,656.884567748507,656.885915345113,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,33930,31923,29323,34308,32696,32615,33410,34604,29487,"[13][M]-","","69"
"68",657.88856837457,657.884597610251,657.890027477898,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,4031,3655,3596,3896,3575,3801,3877,4014,3237,"[13][M+1]-","","69"
"69",658.889607815602,658.887718616373,658.893680812693,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1657,1549,1456,1619,1555,1458,1701,1566,1294,"[13][M+2]-","","69"
"70",673.83621468281,673.834608449646,673.836479913206,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,12524,10809,12176,10675,10003,11765,12205,12276,11639,"[14][M]-","","69"
"71",674.83666081887,674.833477669622,674.837055732136,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,4567,4439,4663,3883,4007,4383,4704,4326,4340,"[14][M+1]-","","69"
"72",675.83388271709,675.833286554699,675.835376413743,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,6583,5742,6159,5294,5545,6303,6047,6775,6023,"[14][M+2]-","","69"
"73",676.833744376007,676.830760029892,676.837362931084,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2564,2433,2586,2281,2183,2500,2515,2462,2685,"[14][M+3]-","","69"
"74",678.831167751903,678.828502665592,678.834836550553,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1263,1314,1324,1219,1066,1268,1291,1298,1341,"","","69"
"75",690.79030804497,690.787667120278,690.797400922221,18.2050060743318,16.1183262382994,18.4964079013597,9,3,3,3,1986,1774,2219,1607,1461,2049,1874,2220,2046,"[15][M]-","","69"
"76",691.78563616582,691.783249030477,691.789244510566,16.3551960910905,16.152872468608,18.1239481430609,6,2,1,3,1143,980,1223,931,908,1089,1163,1163,1184,"[15][M+1]-","","69"
"77",692.784184707891,692.782870976847,692.788702032747,18.1619429060433,16.2206377842694,18.4964079013597,9,3,3,3,2188,1900,2229,1656,1467,2028,2176,2232,2054,"[15][M+2]-","","69"
"78",693.78444632367,693.780923931064,693.787529054592,16.1986564405075,16.1183262382994,16.7826568282714,5,2,0,3,1097,1057,1322,863,981,1201,1115,1172,1430,"[15][M+3]-","","69"
"79",724.872474200961,724.87187580254,724.872814037611,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,36595,32649,29426,35588,33321,34177,34989,35463,29968,"[16][M]-","","69"
"80",725.876335773312,725.875016489574,725.87773554149,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,4448,4193,3727,4628,4495,4523,4322,4615,3587,"[16][M+1]-","","69"
"81",726.878840465113,726.876857870717,726.881356351042,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1967,1778,1605,1728,1670,1703,1667,1879,1595,"[16][M+2]-","","69"
"82",741.823614932658,741.82284715644,741.824290312905,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,12700,11443,11978,10934,10662,12345,12280,13042,12245,"[17][M]-","","69"
"83",742.824427155735,742.823309388591,742.827296346608,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,5236,4539,4800,4520,4354,4743,4524,5058,4882,"[17][M+1]-","","69"
"84",743.822982939948,743.821711301291,743.825603812268,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,6655,6044,6390,6056,6037,6270,6793,6436,6182,"[17][M+2]-","","69"
"85",744.82262412835,744.820615940169,744.823832484384,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2895,2562,2726,2542,2405,2601,2668,2692,2864,"[17][M+3]-","","69"
"86",746.821113342868,746.819125084603,746.822971147659,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1351,1209,1412,1187,1314,1399,1362,1387,1261,"","","69"
"87",758.858257647412,758.853812052987,758.862907197705,16.2206377842694,16.1183262382994,18.1619429060433,9,3,3,3,5678,5371,4359,5707,5555,5530,5436,5466,4344,"[18][M]2-","","69"
"88",759.366066251447,759.364875818455,759.370703313691,16.2206377842694,16.1986564405075,16.7826568282714,7,2,3,2,1518,1385,1144,1553,1525,1426,1321,1475,1112,"[18][M+1]2-","","69"
"89",759.781420160265,759.775146373834,759.786531395658,16.2116906932363,16.1183262382994,18.4964079013597,8,3,2,3,1405,1181,1344,1019,1118,1364,1280,1312,1458,"","","69"
"90",760.772728974464,760.771815150381,760.773912879738,16.2803807529686,16.1183262382994,18.222868995545,9,3,3,3,2357,2026,2426,1746,1854,2202,2319,2379,2457,"[19][M]-","","69"
"91",761.772903483851,761.769502789565,761.774633378388,16.2027436022031,16.1183262382994,16.7826568282714,7,3,1,3,1463,1136,1567,1104,1094,1280,1379,1511,1368,"[19][M+1]-","","69"
"92",767.340195555932,767.336818999454,767.341769077726,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2521,2017,2143,2069,2033,2256,2603,2405,2146,"","","69"
"93",767.839799334555,767.839550492692,767.841701440787,16.2027436022031,16.1986564405075,16.2803807529686,3,1,1,1,1218,1036,1022,1029,1069,1006,1330,1119,1154,"","","69"
"94",768.34085345479,768.338235134785,768.342863335835,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1529,1509,1359,1317,1316,1536,1507,1597,1365,"","","69"
"95",792.861351774852,792.860526836236,792.861836710307,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,37290,35158,30773,37103,36191,35124,35457,36101,30129,"[20][M]-","","69"
"96",793.361107729295,793.358234860198,793.365911684941,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2220,1945,1615,2338,2230,1971,2053,2150,1676,"","","69"
"97",793.863690619836,793.861854056948,793.866117937001,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,5317,4778,4143,5101,5094,4959,5067,4901,4366,"[20][M+1]-","","69"
"98",794.866421496821,794.864038261407,794.869239417329,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1787,1766,1504,1745,1682,1703,1800,1749,1523,"[20][M+2]-","","69"
"99",801.334320017864,801.33117478323,801.336094498204,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,4417,3960,4018,4462,3785,4000,4264,4254,3553,"","","69"
"100",801.832888448766,801.829700454266,801.835288271574,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2197,1862,1919,2032,1865,2026,2068,2140,1902,"","","69"
"101",802.334007424464,802.331802930703,802.336536830682,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2816,2610,2280,2548,2492,2636,2715,2747,2575,"[21][M]2-","","69"
"102",802.835160323577,802.83120703581,802.836604115316,16.2206377842694,16.1183262382994,16.7826568282714,7,3,2,2,1353,1404,1250,1227,1249,1278,1283,1270,1178,"","","69"
"103",809.811529332303,809.8105332246,809.812579185018,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,13856,12303,13058,11384,11585,12515,13352,13749,12812,"[22][M]-","","69"
"104",810.812349582373,810.809981595175,810.813619855177,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,5907,5345,5946,5382,5296,5868,5887,6045,5715,"[22][M+1]-","","69"
"105",811.81067592439,811.807418308587,811.812300436621,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,7369,6439,7027,6228,6007,6714,7057,7296,7082,"[22][M+2]-","","69"
"106",812.811242915135,812.808106704745,812.813247600866,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,3028,2728,2698,2880,2723,2778,3127,3061,3092,"[22][M+3]-","","69"
"107",814.806295975028,814.803888573835,814.808071407889,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,1281,1145,1235,1289,1271,1322,1300,1331,1318,"","","69"
"108",826.847885432741,826.843244232409,826.850027912693,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,7953,7628,5824,8723,7915,7805,7899,7567,6083,"[23][M]2-","","69"
"109",827.353627779535,827.350603220144,827.356481463133,16.2161517628359,16.1183262382994,16.7826568282714,9,3,3,3,2289,2151,1783,2467,2239,2050,2150,2300,1733,"[23][M+1]2-","","69"
